Paper ID,DOI,Methodology,Publisher,Year,1a. Are all the data sources listed?,1b. What type of data is used?,1c. Dataset statistics present?,1d. Data availability,1e. Benchmark Dataset,1f. Metadata/Description,2a. pre porcessing steps,2b. removed source data,2c. multiple sources: combination clear?,2d. methods for features/descriptors,3a. HP opt - model(s),3b. HP opt - baseline(s),3c. HP opt procedure,3d. searched ranges - model,3e. searched ranges - baselines,3f. best HP - model,3g. best HP - baselines,4a. what splitting type,4b. splitting method,4c. splitting type (evaluation procedure),4d. data leakage,4e. metrics,4f. stat sig tests,5a. code/workflow repo,5b.  empty repo ,5c. data preprocessing code,5d. feature generation code,5e. evaluation code,5f. hyperparameter tuning code,5g. supplementary info,5h. sw implementation
1,https://doi.org/10.1109/CCDC.2014.6852414,MB+ML,IEEE,2014,n,real-world,n,not mentioned,,y,y,,na,y,n,n,n,n,n,n,n,Single-Split,,,,"Charts, Error Est.",n,n,na,na,na,na,na,na,na
2,https://doi.org/10.1109/ICTAI.2018.00136,ML,IEEE,2018,n,real-world,n,proprietary,,y,n,,na,y,n,n,n,n,n,n,n,T/V/T,,,,"Precision, Recall",y,n,na,na,na,na,na,na,na
3,https://doi.org/10.1109/ICVR57957.2023.10169760,MB+ML+KB,IEEE,2023,n,not mentioned,n,not mentioned,,n,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,"""Operational KPIs (man hour reduction, timeliness rate etc)""",n,n,na,na,na,na,na,na,na
4,https://doi.org/10.1109/AIKIIE60097.2023.10390401,MB+ML,IEEE,2023,n,simulation,n,not mentioned,,n,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,"Accuracy, F1 score, FPR, TPR",n,n,na,na,na,na,na,na,na
5,https://doi.org/10.1109/ICICT55905.2022.00043,MB+ML+KB,IEEE,2022,n,"real-world, simulation",n,not mentioned,,y,n,,y,y,n,n,n,n,n,y,n,T/V/T,,,,"Accuracy, Loss",n,n,na,na,na,na,na,na,na
6,https://doi.org/10.1109/IECON.2015.7392181,ML,IEEE,2015,n,real-world,n,not mentioned,,y,y,,na,y,n,n,n,n,n,n,n,not mentioned,,,,Charts,n,n,na,na,na,na,na,na,na
7,https://doi.org/10.1109/UIC-ATC.2017.8397584,ML,IEEE,2017,n,real-world,y,not mentioned,,y,y,,na,y,y,n,y,y,n,y,n,not mentioned,,,,Cluster related (Silhouette Index ...),n,n,na,na,na,na,na,na,na
8,https://doi.org/10.1109/ICSensT.2015.7438504,ML,IEEE,2015,n,real-world,n,not mentioned,,y,n,,na,y,n,n,n,n,n,n,n,Single-Split,,,,"Accuracy, Fault Detection Rate",n,n,na,na,na,na,na,na,na
9,https://doi.org/10.23919/IPEC-Himeji2022-ECCE53331.2022.9807260,ML,IEEE,2022,n,experiment,n,not mentioned,,y,n,,na,y,n,n,n,n,n,n,n,Single-Split,,,,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
10,https://doi.org/10.1109/CoDIT55151.2022.9803907,ML,IEEE,2022,n,simulation,y,not mentioned,,y,y,,na,y,y,n,y,y,n,y,n,Cross Validation,,,,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
11,https://doi.org/10.1109/ISAECT.2018.8618755,MB+ML,IEEE,2018,n,real-world,n,not mentioned,,y,n,,na,n,n,n,n,n,n,n,n,Single-Split,,,,R2 Score (coeff. of determination),n,n,na,na,na,na,na,na,na
12,https://doi.org/10.1109/ICASET.2019.8714453,ML,IEEE,2019,n,simulation,n,not mentioned,,n,n,,na,n,y,n,y,y,n,y,n,Single-Split,,,,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
13,https://doi.org/10.1109/ETFA46521.2020.9212088,ML,IEEE,2020,y,real-world,n,public,,y,n,,na,y,y,n,y,n,n,y,n,Cross Validation,,,,"Accuracy, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
