Paper ID,DOI,DOI_short,Methodology,Publisher,Year,data_listed,data_metadata,data_stats,data_type,data_access,preproc_data,preproc_features,multiple data,opt_mentioned,opt_baseline,opt_procedure,params_models,params_baselines,params_best_model,params_best_baseline,eval_splitting,eval_metrics,eval_sig_test,code_link,code_empty,code_preproc,code_features_gen,code_eval,code_params_opt,code_info,code_runable
1,https://doi.org/10.1109/CCDC.2014.6852414,10.1109/CCDC.2014.6852414,MB+ML,IEEE,2014,n,y,n,real-world,No Information,y,y,na,n,n,n,n,n,n,n,Single-Split,"Charts, Error Est.",n,n,na,na,na,na,na,na,na
2,https://doi.org/10.1109/ICTAI.2018.00136,10.1109/ICTAI.2018.00136,ML,IEEE,2018,n,y,n,real-world,proprietary,n,y,na,n,n,n,n,n,n,n,Train/Validation/Test,"Precision, Recall",y,n,na,na,na,na,na,na,na
3,https://doi.org/10.1109/ICVR57957.2023.10169760,10.1109/ICVR57957.2023.10169760,MB+ML+KB,IEEE,2023,n,n,n,No Information,No Information,n,n,na,n,n,n,n,n,n,n,No Information,Operational KPIs,n,n,na,na,na,na,na,na,na
4,https://doi.org/10.1109/AIKIIE60097.2023.10390401,10.1109/AIKIIE60097.2023.10390401,MB+ML,IEEE,2023,n,n,n,simulation,No Information,n,n,na,n,n,n,n,n,n,n,No Information,"Accuracy, F1 score, FPR, TPR",n,n,na,na,na,na,na,na,na
5,https://doi.org/10.1109/ICICT55905.2022.00043,10.1109/ICICT55905.2022.00043,MB+ML+KB,IEEE,2022,n,y,n,"real-world, simulation",No Information,n,y,y,n,n,n,n,n,y,n,Train/Validation/Test,"Accuracy, Loss",n,n,na,na,na,na,na,na,na
6,https://doi.org/10.1109/IECON.2015.7392181,10.1109/IECON.2015.7392181,ML,IEEE,2015,n,y,n,real-world,No Information,y,y,na,n,n,n,n,n,n,n,No Information,Charts,n,n,na,na,na,na,na,na,na
7,https://doi.org/10.1109/UIC-ATC.2017.8397584,10.1109/UIC-ATC.2017.8397584,ML,IEEE,2017,n,y,y,real-world,No Information,y,y,na,y,n,y,y,n,y,n,No Information,Cluster related,n,n,na,na,na,na,na,na,na
8,https://doi.org/10.1109/ICSensT.2015.7438504,10.1109/ICSensT.2015.7438504,ML,IEEE,2015,n,y,n,real-world,No Information,n,y,na,n,n,n,n,n,n,n,Single-Split,"Accuracy, Fault Detection Rate",n,n,na,na,na,na,na,na,na
9,https://doi.org/10.23919/IPEC-Himeji2022-ECCE53331.2022.9807260,10.23919/IPEC-Himeji2022-ECCE53331.2022.9807260,ML,IEEE,2022,n,y,n,experiment,No Information,n,y,na,n,n,n,n,n,n,n,Single-Split,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
10,https://doi.org/10.1109/CoDIT55151.2022.9803907,10.1109/CoDIT55151.2022.9803907,ML,IEEE,2022,n,y,y,simulation,No Information,y,y,na,y,n,y,y,n,y,n,Cross Validation,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
11,https://doi.org/10.1109/ISAECT.2018.8618755,10.1109/ISAECT.2018.8618755,MB+ML,IEEE,2018,n,y,n,real-world,No Information,n,n,na,n,n,n,n,n,n,n,Single-Split,R2 Score,n,n,na,na,na,na,na,na,na
12,https://doi.org/10.1109/ICASET.2019.8714453,10.1109/ICASET.2019.8714453,ML,IEEE,2019,n,n,n,simulation,No Information,n,n,na,y,n,y,y,n,y,n,Single-Split,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
13,https://doi.org/10.1109/ETFA46521.2020.9212088,10.1109/ETFA46521.2020.9212088,ML,IEEE,2020,y,y,n,real-world,public,n,y,na,y,n,y,n,n,y,n,Cross Validation,"Accuracy, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
14,https://doi.org/10.1109/ComplexSys.2015.7385977,10.1109/ComplexSys.2015.7385977,MB+ML,IEEE,2015,n,y,n,simulation,public,n,n,na,n,n,n,n,n,n,n,No Information,"Charts, Operational KPIs, Qualitative metrics",n,n,na,na,na,na,na,na,na
15,https://doi.org/10.1109/ICIEA51954.2021.9516436,10.1109/ICIEA51954.2021.9516436,ML,IEEE,2021,y,y,n,simulation,purchasable,y,y,na,n,n,n,n,n,y,n,Train/Validation/Test,Accuracy,n,n,na,na,na,na,na,na,na
16,https://doi.org/10.1109/PowerAfrica52236.2021.9543158,10.1109/PowerAfrica52236.2021.9543158,ML,IEEE,2021,n,y,n,simulation,No Information,n,n,na,n,n,n,n,n,n,n,Single-Split,"Loss, Precision",n,n,na,na,na,na,na,na,na
17,https://doi.org/10.1109/BigData.2016.7840749,10.1109/BigData.2016.7840749,ML,IEEE,2016,n,y,y,real-world,No Information,n,y,na,n,n,n,n,n,n,n,No Information,Qualitative metrics,n,n,na,na,na,na,na,na,na
