DOI,Publisher,Methodology,Year
https://doi.org/10.1109/CCDC.2014.6852414,IEEE,MB+ML,2014
https://doi.org/10.1109/ICTAI.2018.00136,IEEE,ML,2018
https://doi.org/10.1109/ICVR57957.2023.10169760,IEEE,MB+ML+KB,2023
https://doi.org/10.1109/AIKIIE60097.2023.10390401,IEEE,MB+ML,2023
https://doi.org/10.1109/ICICT55905.2022.00043,IEEE,MB+ML+KB,2022
https://doi.org/10.1109/ISC2.2017.8090835,IEEE,MB+KB,2017
https://doi.org/10.1109/IECON.2015.7392181,IEEE,ML,2015
https://doi.org/10.1109/CSCWD.2017.8066729,IEEE,ML+KB,2017
https://doi.org/10.1109/UIC-ATC.2017.8397584,IEEE,ML,2017
https://doi.org/10.1109/ICSensT.2015.7438504,IEEE,ML,2015
https://doi.org/10.23919/IPEC-Himeji2022-ECCE53331.2022.9807260,IEEE,ML,2022
https://doi.org/10.1109/CoDIT55151.2022.9803907,IEEE,ML,2022
https://doi.org/10.1109/ISAECT.2018.8618755,IEEE,MB+ML,2018
https://doi.org/10.1109/CDC40024.2019.9029919,IEEE,MB,2019
https://doi.org/10.1109/INES.2018.8523895,IEEE,MB+KB,2018
https://doi.org/10.1109/SYSTOL.2016.7739746,IEEE,MB,2016
https://doi.org/10.1109/ICARCV.2016.7838699,IEEE,MB,2016
https://doi.org/10.1109/ICASET.2019.8714453,IEEE,ML,2019
https://doi.org/10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00095,IEEE,KB,2019
https://doi.org/10.1109/ETFA46521.2020.9212088,IEEE,ML,2020
https://doi.org/10.1109/IJCNN.2014.6889976,IEEE,MB,2014
https://doi.org/10.1109/ComplexSys.2015.7385977,IEEE,MB+ML,2015
https://doi.org/10.1109/CDC.2015.7402690,IEEE,MB,2015
https://doi.org/10.1109/ICIEA51954.2021.9516436,IEEE,ML,2021
https://doi.org/10.1109/PowerAfrica52236.2021.9543158,IEEE,ML,2021
https://doi.org/10.23919/ACC50511.2021.9482809,IEEE,MB,2021
https://doi.org/10.1109/AUTEST.2016.7589590,IEEE,MB+KB,2016
https://doi.org/10.1109/CCNS50731.2020.00030,IEEE,MB+KB,2020
https://doi.org/10.1109/BigData.2016.7840749,IEEE,ML,2016
https://doi.org/10.1109/CCTA.2019.8920554,IEEE,ML,2019
https://doi.org/10.1109/COASE.2016.7743507,IEEE,MB+KB,2016
https://doi.org/10.1109/BigData.2017.8258421,IEEE,ML,2017
https://doi.org/10.1109/CASE56687.2023.10260667,IEEE,ML,2023
https://doi.org/10.1109/SYSTOL.2019.8864773,IEEE,MB+KB,2019
https://doi.org/10.1109/AIM.2019.8868354,IEEE,MB,2019
https://doi.org/10.1109/CCSSE.2017.8088030,IEEE,ML,2017
https://doi.org/10.1109/FIT60620.2023.00036,IEEE,ML,2023
https://doi.org/10.1109/BigDataService55688.2022.00032,IEEE,ML,2022
https://doi.org/10.1109/MED.2015.7158750,IEEE,MB,2015
https://doi.org/10.1109/CCTA.2018.8511483,IEEE,MB,2018
https://doi.org/10.1109/CCTA41146.2020.9206291,IEEE,MB+KB,2020
https://doi.org/10.1109/KBEI.2017.8324986,IEEE,ML+KB,2017
https://doi.org/10.1109/ICCCNT61001.2024.10724490,IEEE,ML,2024
https://doi.org/10.1109/ICSSAS57918.2023.10331800,IEEE,ML,2023
https://doi.org/10.23919/ACC45564.2020.9147772,IEEE,ML,2020
https://doi.org/10.1109/ICoICI62503.2024.10696849,IEEE,ML,2024
https://doi.org/10.1109/COASE.2016.7743463,IEEE,ML,2016
https://doi.org/10.1109/ICITBS.2016.41,IEEE,ML,2016
https://doi.org/10.1109/SYSTOL.2019.8864747,IEEE,MB,2019
https://doi.org/10.1109/CoASE.2014.6899467,IEEE,ML,2014
https://doi.org/10.1109/IINTEC48298.2019.9112110,IEEE,ML,2019
https://doi.org/10.1109/ISIE.2014.6865041,IEEE,ML,2014
https://doi.org/10.1109/ICPES47639.2019.9105507,IEEE,MB+ML,2019
https://doi.org/10.1109/ICC47138.2019.9123173,IEEE,MB,2019
https://doi.org/10.1109/SEEDA-CECNSM53056.2021.9566238,IEEE,MB,2021
https://doi.org/10.1145/3486611.3491122,ACM,ML,2021
https://dl.acm.org/doi/10.5555/3615924.3623632,ACM,ML,2023
https://doi.org/10.1145/3600100.3623729,ACM,KB,2023
https://doi.org/10.1145/3486611.3486644,ACM,MB+ML,2021
https://dl.acm.org/doi/10.1145/2674061.2675033,ACM,ML,2014
https://doi.org/10.1145/2674061.2674067,ACM,ML+KB,2014
https://doi.org/10.1145/3587716.3587749,ACM,ML,2023
